time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
24,8246,14294,10684,10994,11306,10924,137759.15705508605,228236.4424728618,601395.9750003427,1612.0
25,8205,14404,10759,11067,11332,10969,138641.9887817245,229529.509043413,617250.7213245882,1612.0
26,8176,14565,10852,11085,11424,11084,139547.70956307923,230726.166772416,630462.0376066102,1612.0
27,8144,14586,10945,11046,11415,11214,140521.60755588306,231985.6332205029,640861.5763206688,1612.0
28,7996,14519,11025,10981,11363,11196,141500.0555003922,233188.1029755329,655021.4219305973,1612.0
29,8022,14665,11097,11068,11441,11275,142735.755531061,234442.41963593682,668850.8711928421,1612.0
30,8089,14802,11169,11201,11503,11356,143583.7885719649,235550.72708516716,683448.8625429117,1612.0
31,7921,14571,11221,11085,11347,11281,144671.0757302568,236920.5910318195,697000.5088375513,1612.0
32,7928,14646,11310,11142,11412,11330,145661.51061890373,238222.33187175906,710264.501730811,1612.0
33,7999,14814,11372,11202,11540,11443,146686.94331094253,239486.68555055963,722485.7573803569,1612.0
34,8045,14983,11427,11314,11564,11577,147744.10595583267,240944.79002728607,734885.9663080778,1612.0
35,8051,15207,11536,11440,11680,11674,148814.19605588284,242285.26637600904,747780.1124660972,1612.0
36,8035,15422,11596,11554,11768,11731,149870.02024820217,243626.4141006749,761068.1296840936,1612.0
37,7949,15417,11681,11459,11749,11839,151047.7302411619,244956.72593865517,782332.0598344731,1612.0
38,7878,15383,11747,11390,11782,11836,152390.8340150334,246583.0707348318,797226.487488284,1612.0
39,7852,15422,11834,11401,11810,11897,153875.69302522182,248076.360261166,815025.9465303784,1612.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1613.0
1,11542,13328,11302,12283,12779,11110,112739.48927758733,207867.0807553238,388878.1972545715,1613.0
2,11227,13469,11285,12043,12596,11342,113842.86505574205,208550.6455944812,394930.9879242899,1613.0
3,11016,13512,11244,11911,12457,11404,115911.90765508429,209460.8478910431,401092.8971943302,1613.0
4,10805,13523,11127,11839,12259,11357,117484.69121681791,210377.64162640282,407950.59224965336,1613.0
5,10643,13550,11111,11762,12164,11378,119661.63048920494,211310.78256504075,414666.6638273152,1613.0
6,10397,13400,11009,11565,11928,11313,121608.52965022791,212383.92315010133,425106.11207977904,1613.0
7,10278,13350,10929,11486,11807,11264,123166.65452738157,213060.98485308638,433593.3203477348,1613.0
8,10154,13354,10875,11415,11707,11261,124899.89934568532,213874.11428201155,443588.5222982383,1613.0
9,9749,12925,10478,10923,11269,10960,126634.17069998528,214712.09382719625,452682.77307537984,1613.0
10,9729,12862,10323,10821,11174,10919,127827.66591329993,215513.00994559238,462241.81293314346,1613.0
11,9574,12722,10161,10662,11025,10770,128759.34980744406,216277.1618665183,471798.3345886124,1613.0
12,9520,12732,10089,10597,10995,10749,129652.45790678405,216992.94438157004,480733.9351549116,1613.0
13,9436,12665,10032,10518,10903,10712,130768.85842627387,217842.16442448355,488985.7436714751,1613.0
14,9400,12757,10028,10524,10888,10773,131645.56579887326,218698.58657509944,498165.436800914,1613.0
15,9340,12815,10014,10506,10888,10775,132435.52289634573,219587.06751314594,509101.6248994492,1613.0
16,9165,12693,9995,10411,10757,10685,133332.26325534645,220288.05792648531,518854.5054214154,1613.0
17,9164,12708,10061,10421,10811,10701,134081.72513580986,220973.03821467102,529603.3676664999,1613.0
18,9106,12659,10085,10372,10761,10717,135072.46583114553,222009.81210100738,540087.8758386512,1613.0
19,8994,12502,10100,10289,10659,10648,136113.0372166191,222872.56058561787,554674.6091409537,1613.0
20,9139,12505,10096,10349,10698,10693,136890.61215709973,223792.1283043964,569361.6022876092,1613.0
21,9193,12639,10139,10421,10744,10806,137586.7916454174,224765.95790716232,583068.0996540742,1613.0
22,9195,12813,10223,10509,10807,10915,138280.31717418553,225699.4250076153,594854.9191223666,1613.0
23,9278,13029,10312,10642,10878,11099,139377.283801675,226614.53061737897,605473.6603691834,1613.0
24,9232,13203,10370,10707,10935,11163,140877.88987760426,227599.29450259346,619878.7121601929,1613.0
25,9212,13305,10453,10744,10989,11237,142189.04560112613,228471.04312279166,636784.8029577127,1613.0
26,9220,13472,10535,10794,11110,11323,143327.86719231436,229779.16418973124,653267.3720916092,1613.0
27,9198,13491,10624,10840,11137,11336,144374.9983391633,231014.9400020114,668468.0991359964,1613.0
28,9015,13454,10711,10768,11082,11330,146287.82278613656,232238.0586142888,686643.3074190817,1613.0
29,9082,13530,10823,10834,11181,11420,147523.75691924084,233474.71603841608,705153.4607501545,1613.0
30,9219,13643,10926,10914,11283,11591,148984.23391116707,234761.84376553743,720787.4822190846,1613.0
31,9038,13478,11027,10807,11213,11523,150432.23481116336,235957.16682414073,734454.1046794817,1613.0
32,9057,13541,11090,10835,11295,11558,153079.39315211622,237131.35891156268,750440.7309489158,1613.0
33,9209,13600,11145,10914,11366,11674,155001.88628096745,238239.23622187448,763902.6363588372,1613.0
34,9240,13736,11213,10998,11416,11775,158361.43211648913,239661.0756054441,776419.363419928,1613.0
35,9295,13870,11290,11065,11503,11887,160783.21036273852,240968.96337137956,787272.7770558384,1613.0
36,9345,14061,11366,11201,11563,12008,163269.798906091,242368.34643183343,798607.5280071996,1613.0
37,9180,14048,11457,11143,11501,12041,167986.10023669465,243849.82439021918,816378.9986399172,1613.0
38,9177,14057,11543,11192,11541,12044,173500.6771735119,245248.56285310685,831576.1765354531,1613.0
39,9170,14098,11615,11177,11599,12107,177006.58509368845,246712.75275839667,846586.3135580418,1613.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1614.0
1,11417,13370,11689,12242,12958,11276,112006.10034731927,208088.45436550197,388802.2315098063,1614.0
2,11075,13404,12003,12091,12847,11544,113549.97312942293,208808.4132399641,396817.53457201057,1614.0
3,10785,13375,12289,12073,12776,11600,114901.81971174879,209861.93879566062,403537.11688282725,1614.0
4,10565,13228,12448,12035,12672,11534,116591.10209822404,210945.18275606568,413016.5731062583,1614.0
5,10391,13197,12708,12056,12677,11563,118067.94742747907,212010.8589838915,419672.64435085776,1614.0
6,10115,12959,12840,11876,12539,11499,119382.47881522987,213218.5059057382,426377.44366975746,1614.0
7,9902,12806,12962,11821,12433,11416,121024.33496207994,214325.64586589704,434852.94411289843,1614.0
8,9796,12756,13124,11850,12406,11420,122369.3098463559,215384.85998408802,443338.6467402682,1614.0
9,9371,12266,12840,11429,11918,11130,123539.79596683911,216231.62432910936,453937.60259395285,1614.0
10,9233,12244,12871,11366,11871,11111,124712.50891486133,217149.03457230167,462994.86487474834,1614.0
11,8972,12021,12811,11198,11671,10935,126171.77693026843,217794.60893117773,476141.09361799766,1614.0
12,8909,12007,12959,11167,11714,10994,127167.40660918313,218826.725269032,485654.6937883069,1614.0
13,8761,11917,13045,11144,11652,10927,128389.08093076108,219370.75887286253,494877.6896921452,1614.0
14,8661,11950,13214,11187,11637,11001,129694.07792135254,220148.317885957,503947.2717532383,1614.0
15,8562,11941,13413,11283,11614,11019,130799.6721890074,221149.66582536144,514129.2952157826,1614.0
16,8365,11708,13431,11123,11500,10881,132232.4825726616,221826.24522763112,521637.0504248589,1614.0
17,8293,11692,13585,11135,11558,10877,133428.4927865359,222663.4678968581,529593.2366568657,1614.0
18,8226,11600,13652,11125,11531,10822,135651.45114262018,223415.0511499406,539626.246616168,1614.0
19,8049,11381,13738,10976,11379,10813,136487.60925489257,224174.48734101863,554529.7669275872,1614.0
20,8034,11378,13857,11025,11400,10844,137503.71156963348,224945.18662323162,564934.6856477142,1614.0
21,7999,11499,14100,11138,11507,10953,138721.3756125586,225975.149223025,578375.2246271523,1614.0
22,7969,11584,14388,11270,11598,11073,140150.29647167615,226859.0098083272,588962.2173587189,1614.0
23,7967,11746,14692,11386,11796,11223,142280.245130976,228012.8228799046,602597.7153120319,1614.0
24,7909,11797,14945,11442,11880,11329,144193.0890088259,229288.8587934245,615342.3444901627,1614.0
25,7877,11791,15159,11525,11887,11415,145562.21083419884,230869.71621970687,625096.5806376776,1614.0
26,7832,11846,15369,11606,11937,11504,146890.08950394837,232252.62908070537,636317.3954214781,1614.0
27,7784,11816,15558,11668,11983,11507,149100.82528921854,233741.81903101728,650215.8664646152,1614.0
28,7647,11693,15663,11610,11935,11458,151739.35414837388,235317.66588676997,663694.3084326879,1614.0
29,7645,11712,15868,11671,12030,11524,152615.22254677705,236601.07904968443,682837.1482297655,1614.0
30,7636,11807,16157,11750,12122,11728,153711.7865704099,237908.9037718372,700352.7076800402,1614.0
31,7547,11576,16193,11630,11963,11723,154895.02998186054,239289.18248787167,725078.115365346,1614.0
32,7522,11580,16340,11641,12009,11792,155994.84817796882,240801.7178130894,737745.5588951269,1614.0
33,7564,11652,16598,11758,12136,11920,157609.4862880452,242370.6804960869,751113.5161209101,1614.0
34,7567,11700,16857,11888,12211,12025,159220.6388331395,243802.87137058965,769554.8372609906,1614.0
35,7563,11796,17124,12013,12314,12156,160498.02489764034,245500.49074229412,784675.46789752,1614.0
36,7571,11919,17363,12097,12439,12317,161844.36193507808,247283.30180815412,799093.1415801371,1614.0
37,7460,11867,17545,12125,12371,12376,163419.62980085248,249088.2340273591,814570.0114096078,1614.0
38,7385,11810,17710,12117,12419,12369,165877.33687834608,250505.68544982045,837787.1114994698,1614.0
39,7346,11776,17838,12171,12401,12388,167293.55045939868,252242.45955208477,863761.209037963,1614.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1615.0
1,11502,13239,11527,12192,12856,11220,112024.036843597,208003.7513796791,388809.165156442,1615.0
2,11132,13283,11694,11948,12666,11495,113026.21432779063,208835.43612601008,395886.88183006766,1615.0
3,10928,13186,11889,11890,12508,11605,114664.65414060581,209606.91690396573,403305.7666414223,1615.0
4,10682,13022,11991,11798,12369,11528,116967.36526431309,210459.6260399894,411370.87691590714,1615.0
5,10569,13011,12122,11842,12345,11515,118849.0682031668,211340.8343863949,420105.7959047825,1615.0
6,10326,12806,12175,11707,12155,11445,120831.18044422261,212300.9352289394,428594.42971392855,1615.0
7,10125,12703,12208,11602,12048,11386,122652.71259592815,213253.22266709284,437622.39112921344,1615.0
8,9978,12667,12277,11578,12000,11344,124311.7618003886,214302.712216316,448781.9601028181,1615.0
9,9592,12197,11949,11120,11587,11031,126133.69332863484,215012.63267762994,459447.2693035607,1615.0
10,9543,12100,11916,11064,11514,10981,127388.86672221632,215984.3090882278,466947.0874544086,1615.0
11,9328,11849,11833,10896,11331,10783,128873.6826976772,216773.88034356563,477779.250915885,1615.0
12,9303,11814,11884,10890,11344,10767,130282.0846305066,217612.03584859715,486779.20500213135,1615.0
13,9172,11709,11887,10830,11245,10693,131714.49651898647,218442.24868617623,496022.6829960311,1615.0
14,9156,11719,11998,10865,11232,10776,132788.51042302963,219225.68279138516,504825.1036185543,1615.0
15,9095,11740,12111,10888,11256,10802,134812.49894071996,220272.79073476125,515357.9072839976,1615.0
16,8929,11553,12150,10805,11129,10698,136808.28701143168,221295.76245365624,526990.7011693573,1615.0
17,8963,11530,12289,10866,11210,10706,138337.97858507407,222052.8350897476,537507.8478705346,1615.0
18,8915,11457,12396,10924,11188,10656,139856.40697670807,222986.59522009664,552167.3310339389,1615.0
19,8787,11263,12445,10836,11013,10646,141516.20525704965,223892.24416552135,566749.7998760829,1615.0
20,8859,11285,12537,10910,11099,10672,143256.73303338597,224915.27611265128,581069.3789068229,1615.0
21,8887,11365,12691,11001,11150,10792,146976.7966486509,225847.33294377095,595056.4227895165,1615.0
22,8924,11485,12875,11078,11289,10917,148766.83921420987,227137.76807157704,607755.2785698697,1615.0
23,8946,11566,13084,11162,11415,11019,150332.48722617934,228257.3075999944,619384.2919745058,1615.0
24,8949,11669,13287,11286,11511,11108,151864.93187586888,229378.9787177442,629678.1812187844,1615.0
25,8916,11668,13473,11332,11583,11142,153640.35842645785,230573.71997834425,638818.8018177262,1615.0
26,8925,11749,13669,11432,11663,11248,155949.99547704597,231876.79878946155,650699.8750643358,1615.0
27,8882,11741,13825,11473,11704,11271,158587.01992656398,233244.4432600197,663555.6765482436,1615.0
28,8735,11668,13923,11411,11652,11263,161479.5567532386,234490.36271401256,681193.083419425,1615.0
29,8792,11700,14083,11454,11768,11353,163543.62940216126,235775.01970566646,694402.6799380045,1615.0
30,8843,11778,14242,11494,11865,11504,166718.95646858722,237160.34540861598,712079.6303863527,1615.0
31,8648,11558,14290,11401,11679,11416,172742.6175527343,238674.30409298828,733383.0278903735,1615.0
32,8699,11555,14412,11411,11789,11466,178429.2689163628,240005.70754566655,750374.7346341932,1615.0
33,8759,11589,14588,11486,11880,11570,180191.6206200471,241648.4972157322,770517.6427661594,1615.0
34,8762,11638,14761,11556,11965,11640,182478.19252461885,243265.186846837,793054.7096939487,1615.0
35,8865,11764,14927,11626,12095,11835,184871.32647010428,244810.83165700152,810323.3607497675,1615.0
36,8918,11860,15126,11731,12196,11977,187427.8385706887,246333.49759986665,830901.0105294569,1615.0
37,8775,11769,15309,11702,12156,11995,190125.3077778313,248203.14142178436,856055.8678128863,1615.0
38,8783,11753,15468,11741,12244,12019,195630.59326820503,249719.45846401315,872342.4681078001,1615.0
39,8823,11729,15580,11768,12274,12090,199045.90341082378,251421.72690294072,896027.7526190298,1615.0
