time,sum_hh_low_HH,sum_hh_med_HH,sum_hh_high_HH,sum_occ_low_BG,sum_occ_med_BG,sum_occ_high_BG,mean_price_low_BG,mean_price_med_BG,mean_price_high_BG,seed
10,9985,13187,12816,12013,12553,11422,127565.12055300942,219118.7535592129,464080.3337797473,1303.0
11,9672,12937,12725,11827,12312,11195,129731.35814650425,220479.14251546358,473427.9209374519,1303.0
12,9511,12988,12847,11881,12336,11129,131298.6998988944,221626.59606072897,485200.1759238526,1303.0
13,9293,12860,12879,11733,12283,11016,132556.47976772304,222923.7773488639,496198.1380008621,1303.0
14,9139,12883,13044,11731,12311,11024,134211.52440105402,224237.5864223192,505703.3077985285,1303.0
15,8980,12824,13226,11710,12311,11009,136169.1072009521,225693.77104560036,514343.96491462016,1303.0
16,8766,12556,13218,11480,12114,10946,137649.31622688548,227293.31530826556,522960.2970272502,1303.0
17,8664,12590,13411,11500,12199,10966,138806.2118182556,228353.7751000972,533172.6471916217,1303.0
18,8516,12508,13442,11482,12103,10881,140575.09813009406,229752.01366176395,542515.9155534728,1303.0
19,8377,12336,13329,11424,11889,10729,142343.404840369,231072.85886639604,550566.6508865871,1303.0
20,8310,12371,13431,11486,11918,10708,144093.18928164715,232084.3995776107,565793.0186944765,1303.0
21,8274,12481,13662,11582,12030,10805,145880.70694562173,233266.43848478206,577499.4777884346,1303.0
22,8201,12603,13850,11629,12132,10893,147754.68200078598,234778.477564016,588157.1548901879,1303.0
23,8135,12716,14082,11737,12203,10993,149322.37533054844,236432.4251645858,600659.751854555,1303.0
24,8074,12793,14277,11809,12223,11112,151782.0915851046,238198.1736911643,612826.4577807751,1303.0
25,7995,12817,14414,11801,12322,11103,153369.82348124994,239847.22642547582,631263.3124739076,1303.0
26,7944,12848,14631,11865,12348,11210,155185.84017519717,241496.02427635863,647960.4245200205,1303.0
27,7831,12826,14736,11840,12394,11159,156988.12765770292,243202.8805415681,663572.4048035686,1303.0
28,7704,12713,14755,11750,12338,11084,158712.18188737347,245050.73198893596,684267.68836044,1303.0
29,7622,12754,14914,11788,12348,11154,160221.16520488332,246691.26657415493,706011.3444802074,1303.0
30,7558,12808,15091,11833,12414,11210,162528.24187120982,248474.09002178168,728448.9768987739,1303.0
31,7449,12482,15041,11691,12190,11091,164195.95802386454,249952.93065158784,755359.1149644605,1303.0
32,7399,12550,15162,11718,12232,11161,165507.63398121233,251578.36846808865,782350.5354728737,1303.0
33,7334,12677,15317,11830,12264,11234,167079.97998582417,253054.8933494346,814409.8524552507,1303.0
34,7279,12748,15518,11898,12319,11328,169065.54796399424,254730.75857271362,878475.9014854542,1303.0
35,7267,12847,15700,12007,12392,11415,170998.76103582772,256503.18254099667,905234.7495827659,1303.0
36,7218,12907,15916,12116,12432,11493,173051.9935144888,258330.33734740177,942864.0331085585,1303.0
37,7135,12846,16134,12149,12431,11535,176264.6078954001,260390.02733860945,1.0080002775939897e6,1303.0
38,7053,12799,16225,12106,12402,11569,179304.95068536417,262324.7397489101,1.069841747424786e6,1303.0
39,6990,12737,16335,12068,12435,11559,182632.52252421057,264006.4083652378,1.1323162558383062e6,1303.0
0,11653,12936,11231,11653,12936,11231,111205.4012714691,207672.31945129676,388660.55563085934,1304.0
1,12078,13511,11609,12263,13351,11584,111937.39892402937,208202.29642696376,389620.00518454757,1304.0
2,12138,13910,11916,12550,13503,11911,112528.61146284833,209254.99872038246,395810.9406233303,1304.0
3,12008,13919,12100,12657,13462,11908,113802.51245866404,210323.3198605541,401640.8137822533,1304.0
4,11888,13937,12164,12756,13381,11852,115722.11425635156,211469.01095409013,408090.9346585005,1304.0
5,11817,13951,12248,12796,13353,11867,117417.85970597711,212735.88974806853,414932.09541429416,1304.0
6,11658,13937,12266,12781,13274,11806,118834.34104695776,214024.97147343968,423200.93974824616,1304.0
7,11480,13939,12325,12770,13197,11777,120999.88741723771,215246.291859216,431157.77129254065,1304.0
8,11300,13828,12363,12719,13051,11721,123321.95868752862,216474.2844719855,438222.50413217745,1304.0
9,10827,13278,12040,12234,12542,11369,126009.92876906152,217719.2536039998,447222.15365101054,1304.0
10,10716,13340,12080,12267,12534,11335,127181.99588196652,218794.6530682126,455089.4013422641,1304.0
11,10509,13135,11917,12116,12286,11159,128431.6910292637,219915.6281799102,462532.5453034181,1304.0
12,10397,13186,11979,12106,12256,11200,129823.86326381413,220916.9144764247,470287.43133973714,1304.0
